filename,text,phonemized_text,duration,speaker,gender,language
sample_0000.wav,"Một cơn bão cát đã xảy ra, đã thấy một cơn gió lạnh giá, trời dọa mưa, xe cộ bị hỏng.","mˈo6t̪  kˈəːn  bˈaː5w  kˈaːɜt̪  ɗˌaː5  sˈa4j  ɹˈaː,  ɗˌaː5  tˈəɪɜ  mˈo6t̪  kˈəːn  zˈɔɜ  lˈe-6ɲ  zˈaːɜ,  tʃˈəː2j  zˈoaː6  mˈyə,  sˈɛ  kˈo6  bˌi6  hˈɔ4ŋ. ",6.150000095367432,jellyfish1010_0052,male,vi
sample_0001.wav,Mỗi nhóc phải thơm lên má của cậu Út một cái mới được một khúc dồi.,mˌo5j  ɲˈɔɜk  fˌaː4j  tˈəːm  lˈen  mˈaːɜ  kˌuə4  kˈə6w  ˈuɜt̪  mˈo6t̪  kˌaːɜj  mˈəːɜj  ɗˌyə6c  mˈo6t̪  xˈuɜc  zˈo2j. ,3.859999895095825,capybara1812_1003,female,vi
sample_0002.wav,"Nhưng sau bữa ăn, ông trở nên nghiêm trang.","ɲˌyŋ  sˈaw  bˈyə5  ˈan,  ˈoŋ  tʃˈəː4  nˌen  ŋˈiɛm  tʃˈaːŋ. ",3.369999885559082,capybara1812_0048,male,vi
sample_0003.wav,"Giọng ông vang lên ngay bên tai phải của tôi, rất rõ ràng.","zˈɔ6ŋ  ˈoŋ  vˈaːŋ  lˈen  ŋˈaj  bˈen  t̪ˈaːj  fˌaː4j  kˌuə4  t̪ˈoj,  ɹˈəɜt̪  ɹˈɔ5  ɹˈaː2ŋ. ",3.880000114440918,jellyfish1010_0006,male,vi
sample_0004.wav,Dãy được định nghĩa bởi một quy tắc cho phép từ một phần tử xác định được phần tử tiếp sau nó.,zˈa5j  ɗˌyə6c  ɗˈi6ɲ  ŋˈiə5  bˌəː4j  mˈo6t̪  kwˈi  t̪ˈaɜc  tʃˌɔ  fˈɛɜp  t̪ˌy2  mˈo6t̪  fˈə2n  t̪ˈy4  sˈaːɜc  ɗˈi6ɲ  ɗˌyə6c  fˈə2n  t̪ˈy4  t̪ˈiɛɜp  sˈaw  nˈɔɜ. ,6.070000171661377,jellyfish1010_0070,male,vi
sample_0005.wav,là một tác phẩm lịch sử nhắm đến nghiên cứu quá khứ và tương lai phát triển của xã hội loài người.,lˌaː2  mˈo6t̪  t̪ˈaːɜc  fˈə4m  lˈi6c  sˈy4  ɲˈaɜm  ɗˌeɜn  ŋˈiɛn  kˈiɜw  kwˈaːɜ  xˈyɜ  vˌaː2  t̪ˈyəŋ  lˈaːj  fˈaːɜt̪  tʃˈiɛ4n  kˌuə4  sˈaː5  hˈo6j  lwˈaː2j  ŋˈyə2j. ,5.590000152587891,jellyfish1010_0013,male,vi
sample_0006.wav,Một sinh vật đơn bào như vi khuẩn sẽ hé lộ vô số thứ về những động vật đa bào to lớn như con người.,mˈo6t̪  sˈiɲ  vˈə6t̪  ɗˈəːn  bˈaː2w  ɲˌy  vˈi  xwˈə4n  sˌɛ5  hˈɛɜ  lˈo6  vˈo  sˈoɜ  tˈyɜ  vˈe2  ɲˌy5ŋ  ɗˈo6ŋ  vˈə6t̪  ɗˈaː  bˈaː2w  t̪ˈɔ  lˈəːɜn  ɲˌy  kˌɔn  ŋˈyə2j. ,5.829999923706055,jellyfish1010_0086,male,vi
sample_0007.wav,"Từ đầu tới chân, tôi giống như một triệu phú đô la vừa bước ra từ sở đúc tiền.","t̪ˌy2  ɗˈə2w  t̪ˌəːɜj  tʃˈən,  t̪ˈoj  zˈoɜŋ  ɲˌy  mˈo6t̪  tʃˈiɛ6w  fˈuɜ  ɗˈo  lˈaː  vˈyə2  bˈyəɜc  ɹˈaː  t̪ˌy2  sˈəː4  ɗˈuɜc  t̪ˈiɛ2n. ",5.340000152587891,capybara1812_0045,male,vi
sample_0008.wav,Ai mà không đồng ý cho anh nói rằng người Quảng ở Sài Gòn đi ăn mì Quảng là để tìm một chút hương vị quê nhà.,ˈaːj  mˌaː2  xˌoŋ  ɗˈo2ŋ  ˈiɜ  tʃˌɔ  ˈe-ɲ  nˈɔɜj  ɹˈa2ŋ  ŋˈyə2j  kwˈaː4ŋ  ˈəː4  sˈaː2j  ɣˈɔ2n  ɗˈi  ˈan  mˈi2  kwˈaː4ŋ  lˌaː2  ɗˌe4  t̪ˈi2m  mˈo6t̪  tʃˈuɜt̪  hˈyəŋ  vˈi6  kwˈe  ɲˈaː2. ,8.050000190734863,capybara1812_0042,male,vi
sample_0009.wav,"Khi tôi đang mê mẩn ngắm nhìn người ấy, bố tôi nghiêm giọng nói.","xˌi  t̪ˈoj  ɗˌaːŋ  mˈe  mˈə4n  ŋˈaɜm  ɲˈi2n  ŋˈyə2j  ˈəɪɜ,  bˈoɜ  t̪ˈoj  ŋˈiɛm  zˈɔ6ŋ  nˈɔɜj. ",4.21999979019165,capybara1812_0048,male,vi
